data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,label
42 ,19 ,34 ,44 ,32 ,76 ,18 ,80 ,80 ,54 ,0
13 ,19 ,37 ,36 ,31 ,26 ,81 ,21 ,19 ,77 ,0
11 ,23 ,16 ,23 ,22 ,19 ,4 ,54 ,74 ,11 ,0
43 ,39 ,39 ,24 ,30 ,51 ,26 ,97 ,79 ,30 ,0
48 ,30 ,34 ,38 ,2 ,61 ,12 ,63 ,81 ,39 ,0
30 ,49 ,46 ,13 ,19 ,43 ,86 ,15 ,77 ,20 ,0
12 ,13 ,13 ,1 ,2 ,96 ,86 ,89 ,7 ,46 ,0
29 ,21 ,11 ,47 ,25 ,49 ,35 ,35 ,95 ,29 ,0
47 ,10 ,28 ,17 ,5 ,4 ,70 ,77 ,0 ,45 ,0
18 ,18 ,8 ,30 ,1 ,7 ,67 ,61 ,62 ,91 ,0
26 ,28 ,40 ,10 ,46 ,94 ,89 ,67 ,24 ,49 ,0
33 ,22 ,34 ,2 ,21 ,39 ,18 ,90 ,83 ,97 ,0
23 ,2 ,30 ,36 ,9 ,66 ,51 ,77 ,80 ,47 ,0
37 ,18 ,48 ,36 ,44 ,14 ,73 ,89 ,47 ,25 ,0
45 ,31 ,27 ,36 ,27 ,51 ,0 ,34 ,60 ,75 ,0
11 ,13 ,38 ,24 ,16 ,48 ,45 ,58 ,68 ,1 ,0
10 ,12 ,41 ,30 ,23 ,100 ,17 ,4 ,22 ,42 ,0
9 ,26 ,47 ,7 ,47 ,65 ,2 ,64 ,21 ,1 ,0
21 ,31 ,1 ,40 ,31 ,86 ,50 ,79 ,59 ,67 ,0
5 ,11 ,1 ,31 ,3 ,60 ,84 ,51 ,49 ,34 ,0
0 ,35 ,31 ,1 ,4 ,33 ,2 ,75 ,76 ,67 ,0
36 ,32 ,13 ,7 ,2 ,77 ,95 ,48 ,99 ,52 ,0
20 ,28 ,18 ,35 ,9 ,84 ,81 ,67 ,11 ,41 ,0
43 ,19 ,5 ,32 ,32 ,13 ,40 ,31 ,24 ,74 ,0
17 ,27 ,23 ,2 ,19 ,19 ,42 ,14 ,68 ,57 ,0
17 ,14 ,45 ,5 ,43 ,2 ,41 ,48 ,44 ,54 ,0
16 ,42 ,21 ,14 ,6 ,32 ,20 ,17 ,20 ,8 ,0
8 ,35 ,33 ,3 ,7 ,30 ,76 ,57 ,59 ,44 ,0
25 ,38 ,18 ,41 ,12 ,98 ,51 ,61 ,44 ,61 ,0
11 ,16 ,2 ,42 ,19 ,13 ,53 ,47 ,69 ,55 ,0
37 ,36 ,29 ,7 ,29 ,19 ,68 ,69 ,97 ,21 ,0
43 ,38 ,1 ,2 ,16 ,93 ,51 ,58 ,86 ,32 ,0
14 ,49 ,29 ,2 ,34 ,32 ,75 ,19 ,12 ,29 ,0
14 ,33 ,49 ,36 ,6 ,33 ,37 ,41 ,94 ,58 ,0
0 ,40 ,38 ,17 ,42 ,94 ,50 ,66 ,95 ,81 ,0
4 ,33 ,7 ,37 ,1 ,54 ,76 ,45 ,89 ,9 ,0
20 ,49 ,30 ,31 ,2 ,12 ,52 ,74 ,38 ,57 ,0
43 ,4 ,0 ,0 ,37 ,10 ,31 ,76 ,62 ,100 ,0
47 ,44 ,0 ,48 ,33 ,32 ,83 ,13 ,87 ,31 ,0
47 ,47 ,12 ,25 ,2 ,88 ,14 ,37 ,64 ,11 ,0
29 ,21 ,2 ,25 ,14 ,18 ,6 ,29 ,8 ,92 ,0
26 ,35 ,29 ,41 ,42 ,6 ,33 ,80 ,81 ,25 ,0
18 ,27 ,12 ,45 ,11 ,18 ,43 ,49 ,25 ,37 ,0
36 ,2 ,17 ,19 ,35 ,76 ,99 ,59 ,47 ,38 ,0
37 ,32 ,6 ,49 ,27 ,75 ,7 ,28 ,22 ,12 ,0
49 ,35 ,19 ,15 ,47 ,57 ,71 ,70 ,22 ,41 ,0
28 ,10 ,18 ,36 ,41 ,27 ,24 ,21 ,39 ,63 ,0
0 ,4 ,30 ,11 ,29 ,69 ,98 ,44 ,41 ,96 ,0
17 ,33 ,47 ,19 ,1 ,8 ,34 ,41 ,50 ,43 ,0
48 ,37 ,34 ,42 ,45 ,79 ,80 ,93 ,59 ,94 ,0
27 ,35 ,10 ,13 ,43 ,50 ,87 ,16 ,22 ,61 ,0
1 ,47 ,20 ,19 ,40 ,85 ,43 ,42 ,89 ,38 ,0
40 ,48 ,33 ,47 ,9 ,52 ,36 ,83 ,55 ,83 ,0
29 ,2 ,49 ,13 ,26 ,2 ,25 ,84 ,44 ,97 ,0
40 ,41 ,39 ,6 ,27 ,39 ,30 ,64 ,59 ,91 ,0
38 ,5 ,4 ,9 ,7 ,17 ,78 ,85 ,47 ,14 ,0
37 ,23 ,28 ,44 ,18 ,41 ,49 ,85 ,0 ,64 ,0
3 ,13 ,35 ,33 ,0 ,43 ,61 ,31 ,69 ,35 ,0
49 ,7 ,21 ,10 ,41 ,10 ,20 ,96 ,86 ,0 ,0
30 ,48 ,6 ,33 ,37 ,75 ,85 ,81 ,87 ,11 ,0
14 ,40 ,32 ,14 ,49 ,40 ,58 ,16 ,91 ,44 ,0
2 ,15 ,5 ,10 ,35 ,70 ,91 ,48 ,84 ,17 ,0
40 ,38 ,26 ,45 ,29 ,20 ,30 ,81 ,82 ,9 ,0
46 ,16 ,11 ,30 ,44 ,57 ,60 ,9 ,86 ,97 ,0
10 ,36 ,38 ,18 ,1 ,75 ,25 ,39 ,37 ,88 ,0
5 ,1 ,41 ,26 ,41 ,39 ,74 ,71 ,22 ,89 ,0
17 ,18 ,4 ,9 ,28 ,23 ,94 ,33 ,78 ,51 ,0
28 ,29 ,31 ,71 ,26 ,60 ,27 ,48 ,58 ,47 ,1
41 ,40 ,13 ,77 ,48 ,48 ,22 ,37 ,82 ,49 ,1
40 ,31 ,0 ,94 ,32 ,74 ,39 ,21 ,83 ,11 ,1
26 ,22 ,21 ,94 ,39 ,88 ,80 ,84 ,74 ,83 ,1
33 ,4 ,43 ,83 ,27 ,73 ,65 ,69 ,85 ,100 ,1
22 ,42 ,41 ,81 ,46 ,34 ,53 ,84 ,3 ,59 ,1
25 ,37 ,43 ,56 ,41 ,58 ,52 ,75 ,42 ,86 ,1
19 ,11 ,18 ,90 ,49 ,34 ,83 ,36 ,83 ,28 ,1
29 ,16 ,11 ,67 ,35 ,76 ,26 ,7 ,79 ,77 ,1
42 ,43 ,37 ,52 ,11 ,43 ,89 ,55 ,32 ,4 ,1
2 ,10 ,29 ,95 ,35 ,16 ,89 ,14 ,81 ,1 ,1
6 ,13 ,12 ,74 ,0 ,98 ,50 ,45 ,37 ,88 ,1
25 ,12 ,33 ,66 ,30 ,17 ,0 ,75 ,39 ,95 ,1
7 ,49 ,26 ,56 ,7 ,27 ,28 ,50 ,41 ,87 ,1
10 ,38 ,31 ,81 ,46 ,7 ,84 ,90 ,9 ,75 ,1
35 ,48 ,24 ,75 ,40 ,20 ,100 ,67 ,46 ,80 ,1
5 ,20 ,45 ,89 ,33 ,100 ,51 ,100 ,0 ,45 ,1
27 ,2 ,43 ,100 ,13 ,31 ,98 ,3 ,2 ,68 ,1
46 ,27 ,3 ,59 ,14 ,75 ,74 ,46 ,12 ,70 ,1
11 ,35 ,32 ,86 ,43 ,43 ,98 ,64 ,61 ,21 ,1
18 ,33 ,39 ,90 ,2 ,69 ,14 ,15 ,30 ,15 ,1
22 ,20 ,47 ,99 ,37 ,95 ,76 ,92 ,55 ,3 ,1
12 ,41 ,44 ,100 ,35 ,77 ,32 ,46 ,38 ,6 ,1
29 ,16 ,7 ,93 ,8 ,25 ,64 ,38 ,47 ,2 ,1
0 ,46 ,8 ,64 ,40 ,98 ,11 ,96 ,39 ,17 ,1
10 ,10 ,15 ,94 ,8 ,20 ,41 ,24 ,12 ,48 ,1
24 ,46 ,6 ,81 ,38 ,92 ,98 ,42 ,1 ,95 ,1
34 ,2 ,31 ,62 ,13 ,17 ,74 ,19 ,23 ,63 ,1
16 ,25 ,6 ,94 ,32 ,61 ,91 ,65 ,91 ,8 ,1
47 ,41 ,16 ,74 ,49 ,45 ,28 ,7 ,33 ,27 ,1
42 ,15 ,5 ,72 ,10 ,96 ,14 ,16 ,23 ,31 ,1
34 ,4 ,41 ,74 ,41 ,75 ,58 ,2 ,40 ,92 ,1
2 ,21 ,4 ,75 ,13 ,90 ,91 ,41 ,26 ,10 ,1
23 ,35 ,44 ,80 ,39 ,48 ,38 ,87 ,19 ,17 ,1
9 ,38 ,23 ,86 ,21 ,84 ,13 ,86 ,38 ,9 ,1
10 ,13 ,46 ,81 ,42 ,96 ,79 ,1 ,64 ,93 ,1
40 ,35 ,48 ,52 ,29 ,44 ,80 ,1 ,96 ,14 ,1
0 ,32 ,47 ,60 ,41 ,87 ,17 ,3 ,90 ,45 ,1
11 ,17 ,8 ,91 ,43 ,79 ,3 ,17 ,12 ,51 ,1
35 ,48 ,20 ,76 ,19 ,75 ,97 ,81 ,84 ,66 ,1
24 ,17 ,21 ,98 ,25 ,32 ,79 ,65 ,2 ,53 ,1
25 ,3 ,4 ,89 ,38 ,24 ,13 ,65 ,39 ,40 ,1
49 ,32 ,24 ,79 ,48 ,10 ,10 ,3 ,72 ,34 ,1
38 ,31 ,14 ,64 ,32 ,43 ,86 ,74 ,31 ,69 ,1
10 ,15 ,41 ,86 ,38 ,97 ,43 ,51 ,51 ,90 ,1
29 ,4 ,38 ,72 ,9 ,56 ,73 ,44 ,52 ,80 ,1
24 ,45 ,11 ,99 ,42 ,40 ,87 ,27 ,38 ,2 ,1
2 ,29 ,31 ,91 ,0 ,19 ,62 ,19 ,7 ,85 ,1
27 ,13 ,49 ,60 ,13 ,16 ,11 ,91 ,68 ,26 ,1
7 ,31 ,32 ,51 ,17 ,95 ,74 ,82 ,63 ,69 ,1
0 ,5 ,6 ,83 ,20 ,98 ,43 ,44 ,96 ,23 ,1
46 ,10 ,28 ,100 ,18 ,3 ,40 ,42 ,25 ,86 ,1
49 ,31 ,6 ,97 ,14 ,83 ,74 ,67 ,32 ,24 ,1
25 ,12 ,33 ,68 ,1 ,67 ,73 ,51 ,76 ,70 ,1
26 ,15 ,9 ,61 ,10 ,63 ,20 ,79 ,18 ,19 ,1
32 ,22 ,5 ,53 ,15 ,82 ,65 ,16 ,81 ,29 ,1
17 ,14 ,4 ,96 ,28 ,61 ,47 ,13 ,10 ,43 ,1
12 ,21 ,26 ,93 ,40 ,31 ,19 ,70 ,14 ,94 ,1
25 ,19 ,49 ,100 ,12 ,97 ,39 ,55 ,42 ,41 ,1
10 ,19 ,37 ,98 ,26 ,88 ,48 ,92 ,86 ,39 ,1
41 ,29 ,25 ,60 ,39 ,80 ,56 ,39 ,12 ,21 ,1
6 ,3 ,13 ,79 ,24 ,6 ,67 ,16 ,60 ,34 ,1
44 ,20 ,40 ,94 ,15 ,51 ,17 ,56 ,66 ,54 ,1
6 ,36 ,28 ,99 ,19 ,32 ,52 ,71 ,77 ,25 ,1
17 ,24 ,6 ,58 ,15 ,84 ,36 ,10 ,79 ,55 ,1
48 ,21 ,45 ,79 ,39 ,33 ,78 ,73 ,77 ,47 ,1
34 ,32 ,2 ,57 ,25 ,99 ,25 ,64 ,10 ,53 ,1
30 ,5 ,31 ,94 ,19 ,12 ,15 ,19 ,24 ,30 ,1
40 ,30 ,32 ,62 ,41 ,21 ,88 ,53 ,99 ,28 ,1
20 ,21 ,15 ,99 ,30 ,30 ,16 ,51 ,5 ,46 ,1
45 ,9 ,12 ,77 ,0 ,94 ,12 ,15 ,47 ,91 ,1
34 ,13 ,48 ,70 ,30 ,81 ,97 ,23 ,13 ,94 ,1
3 ,1 ,49 ,100 ,41 ,38 ,76 ,6 ,21 ,20 ,1
40 ,46 ,9 ,90 ,3 ,90 ,74 ,86 ,4 ,58 ,1
30 ,37 ,33 ,64 ,49 ,50 ,76 ,83 ,84 ,94 ,1
0 ,11 ,26 ,64 ,17 ,28 ,45 ,25 ,9 ,40 ,1
15 ,25 ,27 ,98 ,38 ,52 ,78 ,27 ,91 ,11 ,1
40 ,30 ,6 ,77 ,36 ,86 ,73 ,62 ,64 ,4 ,1
21 ,28 ,30 ,59 ,32 ,64 ,91 ,15 ,86 ,100 ,1
42 ,35 ,44 ,99 ,20 ,16 ,21 ,69 ,76 ,70 ,1
45 ,24 ,34 ,84 ,18 ,26 ,10 ,52 ,82 ,9 ,1
12 ,40 ,32 ,57 ,24 ,30 ,56 ,40 ,22 ,98 ,1
48 ,48 ,44 ,54 ,39 ,88 ,34 ,3 ,56 ,10 ,1
6 ,38 ,45 ,71 ,22 ,74 ,47 ,3 ,7 ,27 ,1
34 ,18 ,21 ,72 ,26 ,4 ,96 ,57 ,80 ,62 ,1
36 ,16 ,6 ,87 ,40 ,53 ,73 ,6 ,36 ,16 ,1
35 ,33 ,21 ,81 ,1 ,79 ,6 ,95 ,48 ,57 ,1
9 ,38 ,39 ,69 ,43 ,0 ,44 ,44 ,91 ,97 ,1
14 ,11 ,21 ,56 ,11 ,99 ,75 ,100 ,88 ,84 ,1
7 ,18 ,37 ,77 ,48 ,18 ,18 ,71 ,89 ,38 ,1
45 ,43 ,29 ,68 ,44 ,69 ,38 ,99 ,38 ,55 ,1
9 ,3 ,38 ,75 ,34 ,52 ,49 ,49 ,26 ,99 ,1
15 ,39 ,14 ,53 ,30 ,73 ,38 ,28 ,59 ,5 ,1
11 ,3 ,7 ,66 ,12 ,55 ,65 ,7 ,62 ,4 ,1
25 ,22 ,12 ,64 ,12 ,60 ,44 ,45 ,43 ,57 ,1
44 ,21 ,29 ,78 ,13 ,8 ,0 ,84 ,34 ,57 ,1
46 ,18 ,18 ,100 ,28 ,62 ,60 ,34 ,16 ,81 ,1
3 ,1 ,19 ,81 ,32 ,61 ,40 ,77 ,96 ,34 ,1
0 ,9 ,39 ,75 ,0 ,27 ,1 ,76 ,94 ,68 ,1
3 ,42 ,23 ,76 ,39 ,22 ,16 ,90 ,76 ,13 ,1
44 ,25 ,42 ,94 ,48 ,83 ,96 ,9 ,5 ,97 ,1
16 ,29 ,11 ,82 ,25 ,2 ,92 ,92 ,9 ,16 ,1
17 ,45 ,12 ,65 ,28 ,24 ,60 ,49 ,65 ,7 ,1
31 ,26 ,42 ,76 ,37 ,20 ,81 ,86 ,64 ,93 ,1
48 ,25 ,43 ,90 ,14 ,38 ,35 ,55 ,16 ,41 ,1
26 ,49 ,41 ,65 ,49 ,0 ,77 ,88 ,4 ,77 ,1
49 ,18 ,16 ,93 ,29 ,48 ,91 ,100 ,98 ,65 ,1
12 ,18 ,19 ,75 ,0 ,51 ,66 ,85 ,30 ,72 ,1
23 ,49 ,5 ,97 ,13 ,21 ,78 ,59 ,85 ,82 ,1
16 ,48 ,22 ,70 ,40 ,90 ,5 ,17 ,58 ,58 ,1
24 ,25 ,22 ,52 ,32 ,98 ,87 ,9 ,4 ,32 ,1
40 ,29 ,19 ,82 ,38 ,92 ,35 ,66 ,34 ,54 ,1
5 ,10 ,28 ,81 ,10 ,97 ,52 ,77 ,4 ,88 ,1
1 ,4 ,38 ,62 ,47 ,76 ,74 ,13 ,46 ,73 ,1
49 ,30 ,15 ,56 ,49 ,11 ,31 ,89 ,11 ,99 ,1
29 ,40 ,37 ,89 ,24 ,8 ,7 ,31 ,29 ,62 ,1
18 ,34 ,22 ,96 ,35 ,46 ,32 ,68 ,28 ,43 ,1
49 ,4 ,1 ,100 ,4 ,63 ,44 ,15 ,29 ,13 ,1
12 ,46 ,5 ,85 ,30 ,31 ,73 ,78 ,31 ,84 ,1
39 ,36 ,22 ,90 ,46 ,44 ,30 ,98 ,34 ,73 ,1
14 ,3 ,16 ,97 ,32 ,91 ,89 ,42 ,10 ,22 ,1
7 ,20 ,32 ,64 ,35 ,49 ,19 ,46 ,44 ,73 ,1
26 ,1 ,37 ,70 ,9 ,20 ,38 ,90 ,53 ,47 ,1
9 ,27 ,18 ,70 ,11 ,83 ,94 ,36 ,28 ,97 ,1
1 ,44 ,23 ,76 ,15 ,2 ,36 ,20 ,23 ,0 ,1
25 ,21 ,18 ,88 ,28 ,46 ,55 ,4 ,63 ,65 ,1
28 ,9 ,36 ,61 ,17 ,25 ,35 ,98 ,89 ,3 ,1
6 ,31 ,5 ,70 ,48 ,7 ,24 ,39 ,42 ,91 ,1
46 ,8 ,35 ,56 ,47 ,17 ,80 ,66 ,85 ,77 ,1
48 ,0 ,43 ,61 ,37 ,60 ,66 ,92 ,62 ,65 ,1
15 ,13 ,32 ,94 ,43 ,5 ,16 ,97 ,27 ,76 ,1
23 ,18 ,20 ,88 ,32 ,80 ,30 ,82 ,92 ,23 ,1
2 ,21 ,15 ,59 ,47 ,52 ,29 ,62 ,18 ,89 ,1
13 ,38 ,29 ,77 ,22 ,82 ,69 ,98 ,50 ,61 ,1
46 ,2 ,47 ,75 ,47 ,91 ,90 ,70 ,53 ,48 ,1
24 ,2 ,47 ,60 ,49 ,33 ,22 ,91 ,38 ,55 ,1
10 ,3 ,32 ,62 ,25 ,3 ,18 ,52 ,33 ,63 ,1
14 ,9 ,30 ,88 ,3 ,0 ,4 ,5 ,8 ,71 ,1
42 ,21 ,41 ,52 ,32 ,29 ,56 ,51 ,34 ,2 ,1
42 ,48 ,31 ,94 ,29 ,88 ,31 ,96 ,65 ,11 ,1
23 ,45 ,43 ,95 ,37 ,29 ,30 ,41 ,50 ,78 ,1
49 ,15 ,11 ,98 ,5 ,69 ,76 ,28 ,75 ,67 ,1
34 ,0 ,47 ,60 ,38 ,92 ,56 ,94 ,69 ,55 ,1
46 ,42 ,11 ,100 ,16 ,31 ,61 ,60 ,96 ,59 ,1
9 ,34 ,38 ,88 ,11 ,65 ,85 ,53 ,15 ,48 ,1
20 ,14 ,1 ,81 ,28 ,64 ,69 ,95 ,35 ,88 ,1
47 ,3 ,44 ,88 ,33 ,8 ,85 ,3 ,25 ,100 ,1
10 ,6 ,41 ,62 ,16 ,7 ,88 ,83 ,69 ,0 ,1
38 ,34 ,5 ,73 ,1 ,48 ,30 ,83 ,56 ,34 ,1
14 ,48 ,24 ,97 ,5 ,68 ,14 ,38 ,40 ,46 ,1
3 ,19 ,30 ,100 ,20 ,63 ,46 ,27 ,6 ,5 ,1
34 ,43 ,46 ,89 ,36 ,92 ,13 ,31 ,61 ,68 ,1
49 ,15 ,0 ,64 ,25 ,98 ,19 ,38 ,42 ,7 ,1
25 ,42 ,14 ,54 ,7 ,12 ,5 ,7 ,97 ,50 ,1
12 ,44 ,1 ,60 ,22 ,56 ,60 ,62 ,89 ,44 ,1
22 ,3 ,17 ,79 ,32 ,27 ,5 ,44 ,55 ,89 ,1
5 ,14 ,44 ,55 ,1 ,44 ,14 ,98 ,60 ,43 ,1
23 ,46 ,10 ,100 ,4 ,98 ,3 ,93 ,51 ,92 ,1
7 ,8 ,45 ,58 ,20 ,56 ,7 ,99 ,85 ,28 ,1
18 ,5 ,16 ,56 ,28 ,33 ,55 ,60 ,22 ,77 ,1
2 ,11 ,16 ,78 ,22 ,93 ,0 ,54 ,85 ,42 ,1
13 ,8 ,19 ,78 ,37 ,54 ,84 ,5 ,38 ,42 ,1
17 ,0 ,28 ,81 ,29 ,100 ,25 ,15 ,74 ,32 ,1
2 ,23 ,3 ,80 ,30 ,7 ,92 ,27 ,97 ,42 ,1
42 ,15 ,33 ,59 ,39 ,20 ,51 ,81 ,30 ,45 ,1
44 ,38 ,12 ,100 ,13 ,8 ,95 ,98 ,76 ,28 ,1
34 ,27 ,27 ,57 ,16 ,89 ,96 ,81 ,10 ,41 ,1
14 ,36 ,13 ,60 ,13 ,50 ,63 ,76 ,44 ,94 ,1
49 ,46 ,19 ,100 ,5 ,9 ,49 ,68 ,68 ,41 ,1
36 ,21 ,0 ,86 ,4 ,36 ,43 ,95 ,61 ,10 ,1
41 ,4 ,29 ,60 ,42 ,5 ,7 ,0 ,8 ,57 ,1
46 ,31 ,19 ,96 ,38 ,76 ,48 ,2 ,85 ,41 ,1
42 ,22 ,2 ,95 ,14 ,62 ,27 ,98 ,26 ,93 ,1
47 ,8 ,10 ,93 ,26 ,1 ,76 ,3 ,100 ,35 ,1
21 ,17 ,2 ,57 ,17 ,43 ,21 ,45 ,74 ,28 ,1
37 ,9 ,26 ,92 ,49 ,88 ,19 ,38 ,11 ,42 ,1
26 ,21 ,33 ,64 ,29 ,58 ,54 ,2 ,38 ,96 ,1
8 ,39 ,27 ,87 ,4 ,1 ,20 ,95 ,76 ,98 ,1
33 ,32 ,30 ,69 ,16 ,62 ,55 ,96 ,80 ,5 ,1
31 ,5 ,4 ,51 ,41 ,51 ,25 ,69 ,74 ,75 ,1
47 ,38 ,31 ,86 ,26 ,2 ,57 ,16 ,37 ,21 ,1
28 ,25 ,33 ,58 ,7 ,96 ,26 ,85 ,82 ,12 ,1
19 ,45 ,10 ,59 ,14 ,36 ,92 ,81 ,43 ,85 ,1
0 ,31 ,6 ,75 ,24 ,56 ,42 ,53 ,100 ,70 ,1
10 ,37 ,28 ,97 ,30 ,68 ,79 ,11 ,4 ,83 ,1
28 ,22 ,9 ,57 ,20 ,12 ,26 ,13 ,32 ,26 ,1
38 ,36 ,42 ,75 ,5 ,73 ,37 ,36 ,28 ,31 ,1
13 ,1 ,32 ,60 ,19 ,13 ,94 ,79 ,96 ,91 ,1
10 ,4 ,29 ,73 ,34 ,76 ,40 ,22 ,84 ,9 ,1
22 ,42 ,33 ,100 ,40 ,66 ,30 ,20 ,77 ,10 ,1
22 ,15 ,19 ,62 ,44 ,29 ,71 ,56 ,36 ,60 ,1
49 ,45 ,46 ,65 ,11 ,30 ,71 ,33 ,89 ,15 ,1
11 ,29 ,16 ,57 ,49 ,95 ,99 ,38 ,52 ,9 ,1
42 ,38 ,6 ,89 ,17 ,95 ,57 ,89 ,16 ,18 ,1
42 ,12 ,27 ,57 ,27 ,89 ,85 ,78 ,87 ,86 ,1
30 ,43 ,37 ,87 ,32 ,37 ,65 ,36 ,12 ,5 ,1
47 ,15 ,43 ,55 ,29 ,18 ,76 ,52 ,73 ,66 ,1
34 ,18 ,28 ,67 ,34 ,61 ,20 ,39 ,45 ,11 ,1
46 ,12 ,17 ,97 ,46 ,80 ,51 ,42 ,12 ,26 ,1
2 ,44 ,29 ,61 ,18 ,17 ,44 ,76 ,18 ,57 ,1
5 ,27 ,39 ,69 ,93 ,39 ,30 ,48 ,53 ,90 ,0
34 ,42 ,9 ,83 ,97 ,15 ,10 ,46 ,48 ,78 ,0
16 ,44 ,4 ,84 ,99 ,94 ,19 ,66 ,19 ,99 ,0
1 ,22 ,41 ,25 ,71 ,38 ,19 ,1 ,7 ,91 ,0
8 ,30 ,24 ,87 ,61 ,14 ,2 ,18 ,56 ,95 ,0
2 ,6 ,27 ,20 ,84 ,68 ,38 ,17 ,85 ,61 ,0
22 ,24 ,35 ,77 ,78 ,88 ,10 ,52 ,59 ,79 ,0
43 ,14 ,7 ,80 ,86 ,24 ,19 ,65 ,86 ,95 ,0
36 ,41 ,31 ,59 ,76 ,22 ,21 ,65 ,76 ,70 ,0
48 ,29 ,26 ,69 ,86 ,9 ,27 ,75 ,22 ,18 ,0
36 ,30 ,36 ,58 ,61 ,71 ,24 ,87 ,43 ,67 ,0
16 ,25 ,32 ,58 ,59 ,34 ,28 ,88 ,46 ,13 ,0
47 ,24 ,32 ,45 ,91 ,52 ,27 ,98 ,17 ,11 ,0
36 ,15 ,14 ,16 ,58 ,69 ,5 ,57 ,2 ,39 ,0
24 ,49 ,41 ,23 ,52 ,24 ,12 ,95 ,64 ,73 ,0
0 ,8 ,46 ,51 ,98 ,71 ,31 ,20 ,1 ,73 ,0
19 ,36 ,34 ,67 ,58 ,74 ,35 ,24 ,53 ,0 ,0
36 ,26 ,12 ,100 ,99 ,6 ,34 ,47 ,49 ,58 ,0
49 ,5 ,35 ,43 ,74 ,38 ,29 ,64 ,75 ,53 ,0
43 ,29 ,39 ,32 ,85 ,89 ,3 ,76 ,57 ,79 ,0
6 ,6 ,39 ,23 ,90 ,9 ,42 ,31 ,81 ,4 ,0
18 ,17 ,14 ,30 ,62 ,97 ,2 ,10 ,31 ,43 ,0
8 ,25 ,18 ,19 ,72 ,46 ,12 ,88 ,36 ,32 ,0
2 ,30 ,35 ,65 ,51 ,1 ,36 ,1 ,36 ,15 ,0
44 ,46 ,9 ,46 ,96 ,42 ,12 ,68 ,74 ,39 ,0
44 ,10 ,39 ,70 ,90 ,39 ,28 ,35 ,61 ,78 ,0
31 ,8 ,37 ,83 ,71 ,5 ,23 ,1 ,60 ,12 ,0
15 ,25 ,41 ,3 ,67 ,65 ,22 ,20 ,34 ,18 ,0
41 ,17 ,10 ,90 ,59 ,9 ,1 ,89 ,64 ,28 ,0
46 ,16 ,3 ,4 ,75 ,66 ,42 ,24 ,40 ,0 ,0
1 ,17 ,18 ,66 ,93 ,95 ,12 ,93 ,59 ,56 ,0
