产品ID,型号,品牌,颜色数,上市时间,市场定位,芯片平台,芯片主频,AP,频段数量,零售价格,外观类型,厚度,产品重量,屏幕数量,屏幕尺寸,分辩率,触摸屏,键盘类型,RAM,ROM,Flash内存,摄像头,定位,FM广播,电视,Modem,红外,蓝牙,WLAN,电池容量,重力感应器,方向感应器,文字输入方法数,智能系统
34,ZTE C362,中兴,1,2008,0,0,128,0,1,598,0,47,110,1,3.2,96000,1,0,256,128,140,320,1,1,0,1,0,1,0,1100,1,0,2,1
35,C8802,恒基伟业,1,2008,0,0,96,0,1,298,0,17.5,105,2,2.6,76800,1,1,256,128,20,200,1,1,0,1,0,1,0,1040,0,0,3,0
36,HS-D95,海信,1,2008,1,0,40,0,1,2280,0,17.6,99,1,2.4,76800,1,1,8,32,7.5,0,0,1,0,1,0,0,0,1050,0,0,3,0
37,HS-C558+,海信,1,2008,0,0,96,0,1,790,0,14.8,100,1,2,38720,0,1,32,64,32,130,0,0,0,0,0,0,0,1100,0,0,1,0
38,KX755,LG,1,2008,1,0,147,0,1,2380,2,11.8,100,2,2,38720,0,1,64,128,60,130,1,0,0,1,0,1,0,830,0,0,1,0
39,SCH-W699,三星,1,2008,3,0,147,0,5,5680,1,19.9,110,1,3.2,96000,1,0,128,256,130,320,1,1,0,1,0,1,0,1100,0,0,3,1
40,HS-C189,海信,1,2008,0,0,96,0,1,258,0,14.8,90,2,1.8,20480,0,1,64,256,10,30,0,0,0,1,0,1,0,1000,0,0,1,0
41,OT-E227C,TCL移动,2,2009,0,0,96,0,1,368,1,21.5,100,1,3,96000,1,0,64,128,30,200,1,1,0,1,0,1,0,1000,0,0,3,0
42,C100,大唐,1,2008,0,0,96,0,1,278,0,15.7,105,1,2.4,76800,1,1,128,64,8192,30,1,1,1,1,0,1,0,1600,0,0,3,0
43,V6,振华,1,2008,0,0,96,0,1,268,0,15.8,107.7,1,3.5,384000,2,0,512,512,8192,800,1,0,0,1,0,1,1,1300,1,0,2,1
44,HC-C600,海尔,1,2009,0,0,96,0,1,447,0,14.55,95,1,1.77,20480,0,1,32,128,0,0,0,1,0,0,0,0,0,1000,0,0,1,0
45,CG65,金立,1,2009,0,0,96,0,3,998,0,15.8,180,1,2,38720,0,1,8,16,12,0,1,0,0,1,0,0,0,1500,0,0,1,0
46,A901,天宇朗通,3,2008,1,1,56,0,3,1280,0,16,115,1,2.8,96000,0,1,128,256,63,200,1,0,0,1,0,1,0,1000,0,0,1,0
47,A908,天宇朗通,2,2008,1,1,56,0,3,1218,0,16,120,2,3.3,384000,2,1,512,8192,8192,500,1,0,0,1,0,1,1,1500,1,1,3,1
48,A969,天宇朗通,3,2008,1,1,56,0,3,1218,0,13.5,90,1,2.4,76800,1,1,8,32,6,200,0,1,0,0,0,1,0,900,1,0,3,0
49,i160,英华达,1,2008,0,1,56,0,1,960,0,13.7,80,1,2.4,76800,1,0,128,256,3,30,0,1,0,1,0,0,0,670,0,0,2,0
50,600C,华旗爱国者,1,2008,0,0,96,0,1,990,0,16.1,120.6,1,2.8,96000,0,1,64,128,25,130,0,0,0,1,0,0,0,1000,0,0,1,0
51,PTC608,普天宜通,2,2009,0,0,96,0,3,500,0,18.5,86,1,1.77,20480,0,1,32,128,3,30,0,0,0,0,0,0,0,1000,0,0,1,0
52,ZTE D800,中兴,1,2008,2,0,147,1,3,2980,0,16.2,65,1,1.8,20480,0,1,32,128,20,0,0,1,0,1,0,0,0,1000,0,0,1,0
53,ZTE F280,中兴,2,2008,0,0,96,0,1,428,2,14.3,129,1,2.2,38720,1,1,32,128,128,30,0,0,0,0,0,1,0,650,0,0,3,0
54,CN747,大显,1,2009,1,0,96,1,1,2550,0,17.2,105,2,2.6,76800,1,1,256,128,20,200,1,1,0,1,0,1,0,1040,0,0,3,0
55,168,侨兴,1,2009,0,1,56,0,1,458,0,14,109,1,2.4,76800,0,1,64,256,294,30,0,1,0,0,0,1,0,1100,1,0,1,0
56,F669,三星,1,2009,2,0,128,0,1,1680,1,15.3,100,1,3,76800,2,0,128,64,3,130,0,1,0,0,0,1,0,1350,0,0,1,0
57,F309,三星,1,2008,0,0,128,0,1,998,0,10.9,65,1,1.5,16384,0,1,2,8,8,0,0,1,0,1,0,0,0,650,0,0,1,0
58,800C,华旗爱国者,2,2008,2,0,192,0,1,1180,0,15,100,1,2.8,76800,1,0,64,128,43,200,0,1,0,1,0,1,0,1030,0,0,2,0
59,S505,多普达,1,2008,3,0,528,0,1,2980,0,13.9,85,1,2.2,38720,0,1,64,128,1,30,0,1,0,1,0,1,0,780,0,0,1,0
60,KX500,LG,1,2008,1,0,147,0,1,1580,0,11.9,117.5,1,2.4,76800,0,1,16,16,100,500,1,0,0,1,0,1,0,800,0,0,1,0
61,SCH-B189,三星,1,2009,0,0,96,0,1,218,0,14.6,77.8,1,1.44,16384,0,1,64,32,0,0,0,0,0,0,0,0,0,800,0,0,1,0
62,KX218,LG,1,2008,0,0,96,0,1,592,0,14,110,1,1.8,38720,2,1,128,32,0,0,0,0,0,1,0,0,0,1100,1,1,3,0
63,E890,波导,1,2009,0,0,40,0,3,880,0,13.9,100,1,2.4,76800,0,1,8,32,6,200,0,1,0,1,0,1,0,1050,0,0,1,0
64,C901,波导,1,2009,1,0,40,0,1,2580,0,16.6,117,1,2.4,76800,1,0,256,128,20,200,1,1,0,1,0,1,0,1200,0,0,2,0
65,SCH-M609,三星,1,2009,1,0,147,0,1,2780,2,15.6,83,1,2.2,38720,0,1,64,32,64,0,0,1,0,0,0,0,0,1200,0,0,1,0
66,SCH-F539,三星,1,2009,1,0,147,0,1,2180,2,14.9,75,1,1.5,16384,0,1,32,64,4,0,0,0,0,0,0,0,0,800,0,0,1,0
67,SCH-W239,三星,1,2009,2,0,147,0,3,2480,2,15,109,1,2.8,76800,0,1,64,128,30,30,0,1,0,1,0,1,0,1100,0,0,1,0
68,SCH-W709,三星,1,2009,3,0,268,0,5,7280,0,15.5,80,1,1.65,8192,0,1,32,128,0,0,1,1,0,0,0,0,0,1000,0,0,1,0
69,KV755,LG,1,2009,2,0,147,0,1,2980,2,11.8,80,1,1.8,20480,0,1,128,256,0,30,0,1,0,1,0,0,0,1000,0,0,1,0
70,KV500,LG,1,2009,1,0,147,0,1,2680,0,11.9,172,2,2.8,76800,1,1,64,128,110,500,1,1,0,1,0,1,0,1200,0,0,3,0
71,KV800,LG,1,2009,3,0,528,0,1,1028,0,12.85,110,1,2.8,76800,1,0,64,256,2,200,0,0,0,1,0,1,0,1100,0,0,2,0
72,KV920,LG,1,2009,3,0,268,0,1,900,1,18.8,90,1,2.2,38720,1,1,16,4,0.5,30,0,1,0,1,0,1,0,650,0,0,3,0
73,S900c,多普达,1,2009,4,0,528,0,1,2260,0,14.3,130,1,3.54,153600,1,0,512,1024,0,30,0,1,0,0,0,1,0,1050,1,0,2,0
74,ZTE D90+,中兴,1,2009,1,0,147,0,1,1860,1,18.5,102,1,2.4,76800,0,1,64,256,32,200,0,1,0,1,0,0,0,280,0,0,1,0
75,C7600,华为,1,2009,1,0,192,0,1,2680,0,13.4,95,1,2.2,20480,0,1,32,128,0,0,0,0,0,0,0,0,0,1200,0,0,1,0
76,N900,宇龙,1,2009,4,0,192,0,3,4980,0,16,76,1,2,76800,0,1,64,128,25,130,0,1,0,1,0,0,0,800,0,0,1,0
77,E61,天宇朗通,1,2009,1,0,192,1,1,2380,0,13.65,67.6,1,1.88,38720,0,1,128,512,15,200,0,0,0,1,0,1,0,910,0,0,1,0
78,E200,宇龙,5,2009,1,0,192,0,1,2180,0,15,120,1,2.8,76800,1,0,64,128,45,200,0,1,0,1,0,1,0,1030,1,0,3,0
79,8208,诺基亚,1,2009,1,0,268,0,1,2880,2,15.9,100,1,2.4,76800,0,1,64,128,10,130,1,0,0,1,0,0,0,1400,0,0,1,0
80,H318,华立,1,2009,2,0,96,0,1,1480,2,15.9,85,1,2.4,76800,0,1,128,256,100,200,1,1,0,1,0,0,0,1000,0,0,1,0
81,C020,和信,1,2008,0,0,96,0,1,500,0,14.8,83,1,2.2,76800,0,1,8,14,16,0,0,1,0,0,0,1,0,1050,0,0,1,0
82,HS-CM82,海信,1,2009,1,0,96,0,1,1190,0,14.8,81,1,1.8,20480,0,1,32,64,10,0,0,0,0,0,0,0,0,750,0,0,1,0
83,HS-D92,海信,1,2009,2,0,96,0,3,1790,0,15.25,110,1,2.4,76800,0,1,8,16,3,130,0,1,0,0,0,1,0,1000,0,0,1,0
84,HS-C190,海信,1,2009,0,0,96,0,1,248,0,14.8,94,1,1.9,38720,0,1,128,512,20,130,0,1,0,1,0,1,0,1000,0,1,1,0
85,HC-C60,海尔,1,2009,1,0,268,1,1,1800,0,14.3,73,1,1.44,20480,0,1,32,64,2,0,0,0,0,0,0,0,0,1100,0,0,1,0
86,C7500,华为,1,2009,2,0,192,0,1,1999,0,14.9,86,1,2.4,76800,0,1,128,256,95,130,1,0,0,1,0,0,0,960,0,0,1,0
87,ZTE C339,中兴,1,2009,0,0,96,0,1,268,0,12.8,120,1,2.8,76800,1,0,64,128,128,200,1,1,0,0,0,1,0,930,0,0,2,0
88,KX190,LG,1,2009,0,0,96,0,1,295,0,13.9,81.2,1,2.4,76800,1,1,16,64,15,0,0,0,0,1,0,0,0,900,0,0,2,0
89,HS-C899,海信,1,2009,1,0,192,1,1,1780,0,14.5,103,1,2.8,76800,1,0,64,256,4,30,0,1,0,0,0,1,0,750,0,0,2,0
90,N2228,诺基亚,1,2009,0,0,128,0,1,998,0,14.5,88,1,2.4,76800,2,1,8,32,500,30,0,1,0,0,0,1,0,1350,0,0,3,0
91,CD300,UT,1,2009,0,1,56,0,1,398,0,12,100,1,2.2,38720,1,1,32,128,1.4,30,0,1,0,0,0,0,0,850,0,0,3,0
92,D300,中兴,1,2009,1,0,192,0,1,1980,0,12.9,105,1,3.2,96000,1,0,512,256,40,200,1,1,0,1,0,1,0,1300,0,0,2,0
93,HS-C299,海信,1,2009,0,0,96,0,1,478,0,14.9,122,1,2.1,76800,1,1,128,64,20,130,1,0,0,1,0,1,0,1100,0,0,3,0
94,C5600,华为,1,2009,0,0,96,0,1,998,0,9.9,120,1,3,96000,1,0,128,256,256,320,1,0,0,1,0,1,0,1100,0,0,2,1
95,CC10,创维,1,2009,1,0,96,0,1,1480,0,15.4,85,1,2,38720,0,1,64,128,0.1,30,0,0,0,0,0,0,0,1000,0,0,1,0
96,C600,Philips,1,2009,2,0,96,0,3,2280,0,16.9,114.5,2,2.8,96000,2,1,512,256,256,130,0,1,0,0,0,0,0,1000,1,1,3,0
97,i6C,德信琦基,1,2009,1,0,192,0,1,2680,0,15.5,103,1,2.4,76800,0,1,64,128,30,30,0,0,0,1,0,0,0,880,0,0,1,0
98,KX191,LG,1,2009,0,0,96,0,1,298,0,13.9,90,1,2.4,76800,1,0,32,64,3,130,0,1,0,1,0,0,0,900,0,0,2,0
99,B2021C,天宇朗通,1,2009,2,1,56,0,1,1080,0,15.8,107,1,1.8,38720,0,1,32,128,0.6,30,0,1,0,0,0,0,0,900,0,0,1,0
100,ZTE-CS100,中兴,1,2009,0,0,96,0,1,220,0,14,105,1,2.4,76800,1,1,32,64,128,130,0,1,0,0,0,1,0,1600,0,0,3,0
101,HS-C68,海信,1,2009,0,0,96,1,1,998,2,14.9,110,1,2.4,76800,1,1,1024,2048,120,200,0,1,0,1,0,1,0,1100,0,0,3,0
102,HS-E8,海信,1,2009,1,0,192,1,1,2980,0,12.9,90,1,1.5,6240,0,1,2,4,0.3,0,0,0,0,0,0,0,0,800,0,0,1,0
103,B2030C,天宇朗通,1,2009,0,1,56,0,1,259,0,15.4,80,1,1.77,20480,0,1,8,16,2,30,0,1,0,0,0,0,0,1000,0,0,1,0
104,B2033C,天宇朗通,1,2009,0,1,56,0,1,278,0,15.4,68,1,1.5,16384,0,1,4,8,8,0,0,0,0,0,0,0,0,1000,0,0,1,0
105,SC16,创维,1,2009,1,0,96,0,1,498,0,13.2,62,1,1.44,16384,0,1,4,8,1,0,0,0,0,0,0,0,0,750,0,0,1,0
106,C268,杰普林,1,2009,0,0,96,0,1,599,0,20.27,101,2,2.6,96000,0,1,128,256,128,200,0,1,0,1,0,1,0,780,0,0,1,0
107,SCH-B309,三星,1,2009,0,0,96,0,1,200,0,14.7,88,1,2.4,76800,1,1,32,128,500,30,0,1,0,0,0,1,0,1350,0,0,3,0
108,F126,天宇朗通,1,2009,0,1,56,0,1,850,0,15.55,132.5,1,2.4,76800,0,1,128,64,2.4,30,0,0,0,0,0,0,0,1100,0,0,1,0
109,KX300,LG,2,2009,1,0,96,0,1,658,0,14.7,70.5,1,2.2,38720,0,1,4,16,2,30,0,0,0,0,0,0,0,1000,0,0,1,0
110,2608,诺基亚,1,2009,0,0,96,0,1,798,1,16.25,120,1,2.4,76800,1,1,8,32,32,130,0,0,0,0,0,0,0,2400,0,0,1,0
111,CD680,UT,1,2009,1,0,192,0,1,1680,0,14.5,125,1,2.2,38720,1,1,128,512,5,200,0,0,0,1,0,0,0,1100,0,0,3,0
112,A156,英华达,1,2009,0,1,56,0,1,598,0,14.8,90,1,2.4,38720,0,1,64,128,20,130,0,0,0,1,0,1,0,850,0,0,1,0
113,C86,恒基伟业,1,2008,1,0,96,0,1,1180,2,15.9,102,1,2.8,76800,1,0,256,512,100,300,1,0,0,1,0,0,0,1000,1,1,2,1
114,D1,东森移动,1,2009,0,0,96,0,1,220,0,13.5,72.1,1,1.6,16384,0,1,4,8,0,0,0,0,0,0,0,0,0,910,0,0,1,0
115,F130,天宇朗通,1,2009,0,1,56,0,1,520,0,15.3,110,1,3.2,96000,1,0,128,256,140,130,1,0,0,1,0,1,0,780,1,0,3,0
116,PE10,创维,1,2009,1,0,192,0,1,1088,0,12.9,70,1,1.8,76800,0,1,64,32,10,500,0,0,0,1,0,0,0,800,0,0,1,0
117,KC308,康佳,1,2009,0,0,96,0,1,298,0,13.5,73.5,1,1.8,20480,0,1,8,16,0,30,0,1,0,0,0,0,0,1000,0,0,1,0
118,T68,UT,1,2009,2,0,96,0,3,1280,0,15.25,117,1,2.8,96000,1,0,64,128,37,200,0,1,0,1,0,1,0,1250,1,1,2,0
119,SCH-i329,三星,1,2009,1,0,192,1,1,3680,0,12.98,106,1,2.4,76800,0,1,64,128,20,200,0,0,1,1,0,1,0,1100,0,0,1,0
120,W562,摩托罗拉,2,2009,1,0,96,0,1,1080,0,14.2,107.3,1,2.6,96000,0,1,64,128,30,130,1,1,0,1,0,1,0,750,0,0,2,0
121,ZTE-C X763,中兴,1,2009,0,0,128,0,1,912,0,16,120,1,2.8,76800,1,0,256,512,0,320,1,0,0,1,0,1,1,1100,1,1,3,1
122,I01,和信,1,2009,1,0,96,0,1,1280,0,15.5,117,1,2.8,96000,1,1,64,32,128,30,0,1,0,0,0,1,0,1000,1,0,3,0
123,C75,振华,1,2009,0,0,96,0,1,698,0,15,108,1,2.8,76800,1,0,8,32,2,0,0,0,1,1,0,1,0,1050,0,0,2,0
124,OBEE-C76,振华,1,2009,0,0,96,0,1,525,0,15,95,1,2.4,76800,1,1,8,32,0.5,0,0,1,0,0,0,0,0,1000,0,0,3,0
125,CB-M8C,深圳新中桥,1,2009,0,1,56,0,1,800,0,12.6,130,1,3.2,96000,1,0,1024,3072,256,800,1,1,0,0,0,1,0,1200,0,0,2,0
126,C398,杰普林,1,2009,0,0,96,0,1,599,0,20.27,110,1,2.8,76800,1,0,64,128,30,200,0,0,0,1,0,1,0,1000,0,0,2,0
127,S533C,联想,1,2009,0,0,96,0,1,998,2,15.4,161,1,3.2,409920,1,0,512,512,8192,500,1,1,0,1,0,1,1,1380,1,1,2,1
128,C699,大显,1,2009,2,0,96,0,3,1780,0,14.6,100,1,2.4,76800,0,1,8,16,3,130,0,1,0,0,0,1,0,1000,0,0,1,0
129,Z189,NAIDE,1,2009,0,0,96,0,1,553,0,13.6,100,1,2,38720,0,1,8,32,32,30,0,0,0,1,0,0,0,1000,0,0,1,0
130,CF308,深圳广信,4,2009,0,1,56,0,1,451,1,16,133,1,2.4,76800,1,1,64,128,0,30,1,1,0,0,0,0,0,1200,1,0,3,0
131,I02,和信,1,2009,2,0,192,0,1,1380,0,15.7,73,1,2.2,76800,1,1,32,128,500,30,0,1,0,0,0,1,0,1350,0,0,3,0
132,P580C,联想,1,2009,0,1,56,0,1,899,0,12,118,1,2.6,76800,1,1,32,16,8,130,0,1,0,0,0,1,0,1400,0,0,3,0
133,i909C,联想,1,2009,1,0,96,0,1,1199,0,15.5,136,1,2.44,172800,0,2,512,512,512,320,1,0,0,1,0,1,1,1400,0,0,1,1
134,D16,宇龙,1,2009,1,0,128,0,1,1280,0,16.2,110,1,2.4,76800,0,1,64,128,3,30,0,1,0,1,0,0,0,1500,0,0,1,0
135,S100,宇龙,3,2009,0,0,128,0,1,980,0,14.7,88,1,1.77,20480,0,1,8,4,0,0,0,0,0,0,0,0,0,1400,0,0,1,0
136,S60,宇龙,2,2009,0,0,128,0,1,658,0,15,108,1,3.2,96000,1,0,256,128,128,320,1,1,0,1,0,1,0,1100,1,0,2,0
137,E28,宇龙,1,2009,1,0,128,0,1,2280,0,11.4,70,1,1.5,16384,0,1,16,32,0,0,0,0,0,1,0,0,0,800,0,0,1,0
138,HC-E3,海尔,1,2009,1,0,192,0,1,899,0,15.35,120,1,3.2,96000,1,0,64,128,43,200,1,1,0,1,0,1,0,1300,0,0,2,0
139,C9000,大显,1,2007,3,0,40,1,3,3780,0,16.4,140,1,3.5,153600,2,2,256,512,810,200,1,1,0,1,0,1,1,1300,1,0,2,1
140,KP579,深圳港利通,1,2009,1,1,56,0,3,1680,1,24,120,1,3.2,96000,1,0,256,128,140,320,1,1,0,1,0,1,0,1200,0,0,3,1
141,U10,优思,1,2009,0,0,96,0,3,880,0,13.3,90,1,1.77,20480,0,2,8,16,3,0,0,0,0,1,0,0,0,1000,0,0,1,0
142,酷派238,宇龙,1,2007,1,0,96,0,3,1780,0,18.5,85,1,2.4,76800,1,0,64,128,10,0,0,0,0,1,0,0,0,900,0,0,2,0
143,UC800,深圳同威,1,2010,0,0,96,0,1,342,0,9.9,135,1,3.5,153600,2,0,256,212,300,320,1,1,0,1,0,1,1,1500,1,1,2,1
144,C186,大显,1,2009,0,0,96,0,1,860,2,16.5,80,1,1.77,38720,0,1,512,256,15,130,0,0,0,1,0,0,0,800,0,0,1,0
145,MT-V810,振华,1,2009,0,0,96,0,1,920,0,16.2,110,1,2.8,76800,2,0,256,512,150,320,1,1,0,1,0,1,1,1050,1,0,2,1
146,LTN6A,特灵通,1,2009,0,1,56,0,1,498,2,18.5,70,1,1.5,16384,0,1,4,8,1,0,0,0,0,0,0,0,0,850,0,0,1,0
147,A150,英华达,1,2009,0,1,56,0,1,598,0,14.6,95,1,1.5,16384,0,1,2,8,3,0,0,0,0,0,0,0,0,1400,0,0,1,0
148,LT812,特灵通,1,2009,0,1,56,0,1,298,0,15,80,1,2.4,76800,0,1,64,128,3,130,0,0,0,1,0,1,0,850,0,0,1,0
149,MT-S610,振华,1,2009,0,0,96,0,1,678,2,16,70,1,1.5,16384,0,1,2,8,3,0,0,0,0,0,0,0,0,1000,0,0,1,0
150,LT816,特灵通,1,2009,0,1,56,0,1,298,0,14,80,1,2.2,76800,0,1,128,256,4,200,0,0,0,0,0,0,0,980,0,0,1,0
151,酷派239,宇龙,1,2007,1,0,96,0,3,2399,0,18.5,90,1,2.4,76800,0,1,64,128,0,0,0,0,0,1,0,0,0,1000,0,0,1,0
152,ZTE-C F285,中兴,1,2008,0,0,96,0,1,398,2,14.8,79,1,1.8,20480,0,1,64,128,10,30,0,1,0,1,0,0,0,800,0,0,1,0
153,LT822,特灵通,1,2010,0,1,56,0,1,260,0,15.5,78,1,2,38720,0,1,128,256,80,130,0,0,0,1,0,1,0,900,0,0,1,0
154,酷派766,宇龙,1,2007,1,0,96,0,3,1960,0,22.5,97,1,2.4,96000,0,1,256,64,1,30,0,1,0,1,0,0,0,1150,0,0,1,0
155,ZTE-C C369,中兴,1,2009,0,0,96,0,1,398,0,14.5,98,1,1.8,20480,0,1,8,8,12,0,0,1,0,0,1,1,0,1150,0,0,1,0
156,LT928,特灵通,1,2010,0,1,56,0,1,385,0,14,90,1,1.5,14400,0,1,2,4,0.2,0,0,0,0,0,0,0,0,800,0,0,1,0
157,ZTE C3621,中兴,1,2008,0,0,128,0,1,280,0,14.45,76.8,1,2,20480,0,1,128,64,0,30,0,0,0,1,0,0,0,800,0,0,1,0
158,i55C,德信琦基,1,2008,1,0,40,0,3,1500,0,16.4,111.6,1,2.4,76800,0,1,64,128,0,30,0,0,0,0,0,0,0,1900,0,0,1,0
159,LT699,特灵通,1,2009,0,1,56,0,3,799,1,20,92,1,2,76800,1,1,32,128,0.5,30,0,1,0,0,0,1,0,1200,0,0,3,0
160,C2860,华为,1,2007,0,0,96,0,1,480,0,14,70,1,1.3,20480,0,1,16,4,0,130,0,0,0,1,0,0,0,500,0,0,1,0
161,V737C,七喜控股,1,2009,0,0,96,0,1,998,2,16.5,68,1,1.5,14400,0,1,8,4,1,0,0,0,0,0,0,0,0,800,0,0,1,0
162,LT80,特灵通,1,2009,2,1,56,0,3,1180,0,13.2,74,1,1.77,20480,0,1,128,64,0,0,0,0,0,1,0,0,0,1000,0,0,1,0
163,ZTE-J G682,中兴,1,2008,1,0,40,1,1,1480,0,32.5,72,1,1.4,16384,0,1,64,32,0.3,0,0,0,0,0,0,0,0,1000,0,0,1,0
164,ZTE-C C370,中兴,2,2009,0,0,96,0,1,232,0,14.5,110,1,2.8,76800,1,0,256,512,150,30,0,0,0,1,0,0,0,1000,0,1,2,1
165,ZTE-J G79,中兴,2,2009,1,0,192,1,1,1380,1,18.8,67,1,1.5,20480,0,1,2,4,4,0,0,0,0,0,0,0,0,1050,0,0,1,0
166,ZTE C336,中兴,1,2009,0,0,96,0,1,186,0,12.8,100,1,2,38720,0,1,64,32,1,0,1,0,0,0,0,1,0,1000,0,0,1,0
